X,Y
0,29.2778
1,29.6944
2,29.7917
3,30.1528
4,29.9167
5,30.3750
6,30.7917
7,31.1806
8,31.5833
9,32.8333
10,33.3472
11,33.5833
12,33.2639
13,32.9167
14,31.5556
15,31.1528
16,30.5694
17,29.9444
18,29.3472
19,29.6111
20,30.2083
21,30.4028
22,31.0417
23,31.7361
24,31.3889
25,31.7500
26,31.7917
27,32.0833
28,32.0556
29,33.3472
30,34.5833
31,35.9306
32,36.0417
33,36.2083
34,36.0139
35,35.7500
36,34.2361
37,32.4583
38,30.3194
39,29.8611
40,30.8889
41,31.5556
42,32.0000
43,32.3472
44,32.1111
45,32.6111
46,32.6667
47,32.8472
48,33.1528
49,33.7778
50,34.1528
51,34.7917
52,35.3750
53,36.7500
54,37.9167
55,38.9167
56,39.0278
57,38.6806
58,38.6944
59,38.6667
60,37.7361
61,35.0556
62,31.8750
63,30.7222
64,31.9444
65,32.6806
66,32.6389
67,32.6667
68,32.6944
69,33.3750
70,33.6250
71,34.0972
72,33.5417
73,33.6944
74,34.3333
75,35.4722
76,35.8889
77,36.7222
78,37.6111
79,39.0694
80,40.2778
81,41.6667
82,42.2083
83,42.0694
84,41.3056
85,41.3333
86,40.8611
87,41.2639
88,39.0833
89,36.0417
90,32.6528
91,32.5972
92,33.5139
93,34.2361
94,34.3611
95,34.7083
96,34.6806
97,34.6944
98,34.5000
99,35.1111
100,34.5556
101,34.8889
102,35.5139
103,36.9583
104,37.8333
105,38.7917
106,39.5833
107,40.6806
108,41.1250
109,42.2222
110,43.6389
111,45.3611
112,45.9861
113,46.3472
114,45.7361
115,45.0833
116,44.2639
117,44.1250
118,43.3056
119,43.2917
120,41.5000
121,38.3056
122,34.7639
123,34.1944
124,34.4028
125,34.9861
126,35.2500
127,35.8472
128,35.4306
129,35.3889
130,35.1806
131,35.8750
132,35.9167
133,36.4306
134,36.5556
135,36.8472
136,37.3472
137,38.2917
138,39.0417
139,40.0139
140,40.3056
141,40.9722
142,42.1667
143,43.1111
144,43.9306
145,45.7361
146,47.6250
147,49.0556
148,49.3889
149,49.6111
150,49.2083
151,48.9861
152,48.9306
153,49.1806
154,48.9861
155,48.8611
156,48.1250
157,47.6528
158,45.6389
159,44.5278
160,43.4583
161,41.6944
162,39.3611
163,38.2778
164,37.8056
165,37.9861
166,37.5139
167,37.4028
168,36.7361
169,36.3611
170,35.5556
171,35.7361
172,35.9583
173,36.3056
174,37.3750
175,37.8194
176,37.7083
177,37.9861
178,38.4167
179,39.0833
180,38.8889
181,39.2639
182,39.5833
183,40.2500
184,40.3611
185,40.8472
186,41.3056
187,41.8472
188,42.2083
189,42.8750
190,43.2083
191,43.9722
192,44.3056
193,45.0833
194,45.8056
195,46.8472
196,47.4861
197,48.0417
198,49.0556
199,50.4167
200,51.1806
201,52.6111
202,53.8194
203,54.6389
204,54.7361
205,55.0556
206,54.5556
207,54.5556
208,54.1389
209,54.1667
210,54.0694
211,53.9583
212,53.4861
213,53.0000
214,52.0417
215,51.7083
216,51.0556
217,51.0000
218,49.9167
219,49.7361
220,49.1111
221,48.2639
222,46.5000
223,45.9306
224,45.6944
225,44.9861
226,43.2778
227,42.6528
228,42.1111
229,41.8750
230,41.2222
231,41.1667
232,40.7639
233,40.5417
234,39.8889
235,39.9028
236,39.7778
237,39.7778
238,39.6667
239,39.8056
240,39.3750
241,39.3889
242,39.2639
243,39.1111
244,39.0139
245,38.9722
246,38.8194
247,38.6667
248,38.9167
249,38.8056
250,38.7222
251,38.5833
252,38.5972
253,38.4722
254,38.2222
255,38.2222
256,38.1111
257,38.0694
258,38.0972
259,38.4306
260,38.6528
261,38.6944
262,38.6250
263,38.6806
