X,Y
0,36.7949
1,36.8205
2,36.6154
3,36.9487
4,36.8462
5,37.6923
6,38.8205
7,39.9231
8,40.8718
9,41.2051
10,41.0000
11,41.2821
12,41.2821
13,41.0000
14,40.1026
15,39.9487
16,39.5385
17,38.6667
18,37.3590
19,37.1282
20,37.4615
21,37.9487
22,38.4615
23,39.0513
24,38.6923
25,39.3333
26,40.1795
27,41.2564
28,42.5385
29,44.0513
30,44.2821
31,44.3333
32,44.1282
33,44.8718
34,44.8974
35,44.2821
36,43.1026
37,42.3590
38,41.0256
39,40.3077
40,39.4103
41,39.1538
42,38.9487
43,39.9744
44,40.1282
45,40.1538
46,40.0000
47,40.4103
48,41.3077
49,42.8718
50,44.7949
51,46.2308
52,47.2308
53,47.6154
54,46.7436
55,46.2308
56,46.6154
57,47.8205
58,48.4615
59,48.3333
60,47.1282
61,46.3846
62,44.2308
63,43.4103
64,42.9231
65,41.9231
66,40.3846
67,40.9231
68,41.6154
69,42.0000
70,42.3590
71,42.6667
72,42.5128
73,43.0000
74,44.3333
75,47.1795
76,49.5385
77,51.0769
78,50.6154
79,50.9487
80,50.8974
81,50.6667
82,50.8718
83,51.8974
84,52.3846
85,52.0769
86,51.2821
87,50.9744
88,50.7949
89,50.5128
90,48.6667
91,46.5641
92,44.0769
93,42.6667
94,43.1026
95,44.2564
96,44.3333
97,44.0769
98,43.7436
99,44.1282
100,44.3590
101,44.3846
102,45.4359
103,46.7949
104,47.2051
105,52.3590
106,55.7179
107,56.6154
108,56.2051
109,56.3846
110,55.2821
111,54.5385
112,54.5641
113,55.4359
114,56.2821
115,56.7949
116,56.4615
117,55.6410
118,54.4872
119,53.9487
120,53.8462
121,54.0513
122,53.5128
123,52.1538
124,49.6923
125,46.2564
126,44.7436
127,45.7949
128,46.5385
129,47.1026
130,46.6923
131,46.3590
132,45.8205
133,45.9231
134,46.8974
135,47.7436
136,48.4359
137,48.8718
138,49.9231
139,51.5128
140,52.6667
141,54.5897
142,57.5128
143,60.2051
144,60.4103
145,61.3333
146,62.1026
147,62.0769
148,61.5385
149,61.3590
150,60.7179
151,61.0256
152,61.6410
153,61.6154
154,61.7436
155,61.6154
156,60.7436
157,59.6667
158,58.5641
159,58.0769
160,57.7436
161,57.4359
162,57.0256
163,56.7436
164,55.8205
165,54.7949
166,52.2564
167,50.3590
168,49.0256
169,49.4103
170,49.1538
171,49.4615
172,49.5128
173,49.6154
174,49.0000
175,48.9744
176,49.0256
177,48.7949
178,48.2564
179,49.0000
180,49.0256
181,49.6410
182,50.2564
183,51.2821
184,52.2564
185,52.5128
186,53.2564
187,53.2308
188,54.9231
189,57.3333
190,58.8462
191,61.1282
192,61.2308
193,61.6923
194,62.5897
195,63.8974
196,64.7179
197,65.4615
198,65.4103
199,66.0513
200,65.9231
201,66.3333
202,66.8462
203,67.3077
204,67.4359
205,67.8462
206,67.6923
207,67.9231
208,67.7949
209,67.7692
210,67.7179
211,67.4103
212,66.7949
213,65.9231
214,65.0769
215,64.5897
216,64.6923
217,63.8974
218,62.8462
219,62.6410
220,62.6154
221,62.2308
222,61.8462
223,61.7949
224,61.5128
225,61.2564
226,60.7949
227,60.8205
228,60.6667
229,60.1538
230,59.3846
231,59.6154
232,59.1026
233,59.2308
234,58.3077
235,58.5128
236,58.0256
237,57.3590
238,56.1538
239,55.7949
240,55.5641
241,55.5385
242,54.7949
243,54.4359
244,53.8718
245,53.7436
246,53.4615
247,53.6410
248,53.6410
249,53.4103
250,53.1026
251,52.8462
252,52.5385
253,52.5385
254,52.2821
255,52.2051
256,52.2564
257,52.4359
258,52.3333
259,52.4103
260,52.3333
261,52.5385
262,52.3333
263,52.3590
264,52.3846
265,52.6667
266,52.5385
267,52.6154
268,52.6154
269,52.7949
270,52.8205
271,52.8974
272,52.6667
273,52.7436
274,52.7179
275,52.9487
276,53.0256
277,53.2051
278,52.8974
279,52.8974
280,52.9487
281,52.8462
282,52.6667
283,52.7692
284,52.6410
285,52.5897
286,52.4872
287,52.5897
288,52.5641
289,52.5641
290,52.5385
291,52.5385
292,52.4359
293,52.3590
294,52.1026
295,52.0256
296,52.3333
297,52.2051
298,52.0513
299,52.2308
300,52.5128
301,52.5385
302,52.5641
303,52.7692
304,52.4103
305,52.4615
306,52.5385
307,52.6923
308,52.7436
309,53.1282
310,53.4615
311,53.6667
312,53.5897
313,53.8205
314,53.7436
315,54.2821
316,54.3333
317,54.8205
318,55.2308
319,55.8718
320,55.8974
321,56.5385
322,57.1538
323,57.9231
324,57.7692
325,58.8205
326,59.0000
327,59.4359
328,59.4872
329,60.1026
330,59.8718
331,60.2564
332,59.9744
333,60.5385
334,60.6154
335,60.7949
336,60.3590
337,60.7179
338,60.8205
339,61.5641
340,61.4615
341,62.1282
342,62.0000
343,62.4103
344,62.9231
345,63.4359
346,63.6923
347,64.4103
348,64.8718
349,65.4103
350,65.5385
351,65.7692
352,66.0000
353,66.2051
354,66.0769
355,66.2308
356,66.1282
357,66.1026
358,65.8462
359,65.7949
360,65.7949
361,65.5897
362,64.8462
363,64.3590
364,63.5897
365,62.5641
366,61.1282
367,60.2821
368,59.5641
369,58.6410
370,56.2308
371,54.5897
372,53.6667
373,53.0769
374,52.3077
375,51.8718
376,50.9231
377,51.0000
378,50.5128
379,49.9231
380,49.4615
381,49.5128
382,48.9231
383,48.6923
384,49.1026
385,49.1795
386,49.0513
387,48.6667
388,48.1795
389,48.3077
390,48.4872
391,49.0256
392,49.6410
393,50.4872
394,52.0513
395,53.6410
396,54.7179
397,55.6923
398,55.5385
399,55.3590
400,56.0256
401,56.9231
402,57.4872
403,58.4872
404,58.5897
405,59.5897
406,59.7179
407,59.9487
408,59.7949
409,59.8462
410,59.5385
411,60.0256
412,60.7692
413,61.6410
414,61.6154
415,61.2821
416,59.7179
417,59.6410
418,58.8462
419,57.5897
420,53.6154
421,50.4103
422,49.3077
423,49.1795
424,49.1282
425,48.7949
426,47.5128
427,47.2051
428,46.3590
429,46.3077
430,46.4615
431,46.6667
432,46.2564
433,45.2308
434,45.3333
435,44.9487
436,45.7949
437,48.9231
438,51.5128
439,54.0513
440,54.4103
441,53.7179
442,53.0513
443,53.6154
444,54.3590
445,55.4872
446,56.7436
447,57.1795
448,56.7436
449,56.3333
450,55.8205
451,56.6667
452,57.4359
453,57.9487
454,56.6667
455,56.2308
456,54.9231
457,51.1538
458,47.4872
459,45.5641
460,45.8718
461,46.2564
462,45.7436
463,44.6667
464,44.6667
465,45.2821
466,44.8974
467,44.7436
468,44.2564
469,43.7692
470,44.6667
471,46.7436
472,49.2051
473,51.4359
474,51.8974
475,52.0769
476,52.4615
477,52.9231
478,53.2564
479,53.2821
480,52.8462
481,52.5385
482,52.1538
483,52.4103
484,52.2308
485,52.5128
486,51.6154
487,50.2564
488,46.8718
489,44.3333
490,42.6667
491,42.9744
492,43.0769
493,43.3333
494,43.4359
495,43.6923
496,43.2308
497,42.7179
498,42.0513
499,43.6410
500,45.8974
501,47.6410
502,48.8462
503,49.7949
504,50.2564
505,50.6410
506,50.0000
507,49.2308
508,49.0513
509,49.5641
510,49.8462
511,49.8462
512,49.1538
513,47.9744
514,45.3846
515,43.4103
516,42.3846
517,41.4359
518,41.3846
519,42.1538
520,42.1538
521,41.8974
522,40.5897
523,40.5128
524,41.2821
525,43.1795
526,45.3333
527,46.4103
528,46.1282
529,48.0256
530,49.0000
531,48.4103
532,47.1538
533,47.3590
534,47.2821
535,47.1282
536,46.4103
537,44.6410
538,42.9231
539,42.5897
540,40.7949
541,39.5641
542,40.5128
543,41.1282
544,40.7692
545,40.4103
546,40.4359
547,41.7179
548,42.6410
549,43.6154
550,44.2821
551,45.3077
552,45.9231
553,46.3846
554,45.7692
555,45.8205
556,46.1282
557,46.1795
558,43.9744
559,42.8205
560,41.6154
561,41.0000
562,39.6410
563,39.6923
564,39.8205
