X,Y
0,30.8222
1,31.2667
2,31.5111
3,31.6667
4,31.6667
5,31.8222
6,31.4889
7,32.1111
8,32.8222
9,33.6000
10,34.2222
11,35.1111
12,35.2000
13,35.3333
14,35.0000
15,34.7778
16,33.7778
17,33.6444
18,33.2889
19,32.4667
20,31.6000
21,31.7778
22,32.3778
23,32.8444
24,33.4000
25,33.7556
26,33.1778
27,33.7556
28,33.9111
29,34.4444
30,34.9556
31,36.3778
32,37.1111
33,38.1778
34,38.1556
35,38.7111
36,38.4889
37,37.7111
38,36.6222
39,35.7778
40,33.7778
41,32.9333
42,32.8889
43,33.6889
44,33.9111
45,34.5778
46,34.5778
47,34.6667
48,34.5556
49,34.8000
50,35.6000
51,36.7778
52,37.4667
53,38.0222
54,38.8889
55,40.1778
56,40.5333
57,40.6444
58,40.7778
59,40.9333
60,41.1556
61,41.0222
62,40.2000
63,38.8667
64,35.7778
65,34.4444
66,34.6667
67,34.8889
68,34.2444
69,34.5778
70,35.1556
71,35.7556
72,35.8444
73,35.7556
74,35.7778
75,36.0222
76,37.0667
77,39.0667
78,40.1111
79,40.7333
80,41.7111
81,43.0889
82,43.4000
83,43.6000
84,43.8889
85,44.1333
86,43.6444
87,43.7556
88,43.0444
89,43.2444
90,42.6667
91,41.8222
92,38.4000
93,36.0000
94,35.5556
95,36.1556
96,36.7111
97,37.5111
98,37.3556
99,37.4444
100,37.5556
101,37.8222
102,37.3778
103,37.5111
104,38.2444
105,39.3333
106,40.8889
107,42.7556
108,43.7333
109,45.1556
110,46.0222
111,46.7556
112,46.8444
113,47.0444
114,47.2889
115,47.7111
116,47.8000
117,47.6889
118,46.9778
119,46.7556
120,45.7556
121,45.9333
122,46.5111
123,44.7556
124,41.0222
125,38.6667
126,36.7111
127,36.8444
128,38.0222
129,38.8222
130,39.0000
131,39.0667
132,38.5333
133,38.8444
134,38.3556
135,38.7333
136,39.3333
137,39.9111
138,40.4889
139,41.0667
140,41.8889
141,43.0889
142,43.9556
143,44.9111
144,46.2667
145,48.0222
146,49.2222
147,50.6222
148,51.8222
149,52.4667
150,52.3556
151,52.2222
152,51.3778
153,51.2889
154,51.6667
155,51.9778
156,51.6667
157,51.4444
158,50.7333
159,50.1333
160,48.9778
161,48.4889
162,48.0889
163,47.7778
164,46.6222
165,44.9778
166,43.1111
167,42.0222
168,40.6667
169,40.3778
170,40.4000
171,40.6000
172,40.2667
173,40.4889
174,40.3111
175,40.6889
176,41.0000
177,41.4444
178,41.4222
179,41.3333
180,41.0222
181,41.3556
182,41.4222
183,42.0444
184,42.2222
185,42.7556
186,43.2444
187,43.8667
188,44.4889
189,45.2667
190,46.3778
191,47.5556
192,47.8444
193,48.7778
194,48.6667
195,49.3111
196,50.1778
197,51.5778
198,52.9111
199,53.9111
200,54.6667
201,55.5778
202,55.8222
203,56.1778
204,56.4000
205,57.2222
206,57.5333
207,57.9111
208,57.7778
209,57.7778
210,57.2000
211,57.0889
212,56.8222
213,56.4222
214,56.0222
215,55.5111
216,54.8667
217,54.4444
218,54.0667
219,53.8444
220,53.0444
221,53.0444
222,52.8000
223,52.4667
224,51.5333
225,50.9556
226,50.7556
227,50.4000
228,49.2889
229,48.7556
230,48.2222
231,48.0444
232,47.1556
233,47.3556
234,46.8444
235,46.6222
236,45.6444
237,45.6222
238,44.9778
239,44.7778
240,44.1111
241,43.9333
242,43.8222
243,43.6000
244,43.1556
245,42.8889
246,42.7556
247,42.7556
248,42.6222
249,42.6889
250,42.9556
251,42.7333
252,42.6667
253,42.6444
254,42.5778
255,42.5111
256,42.2222
257,42.2222
258,42.1778
259,42.2889
260,42.3111
261,42.6444
262,42.6444
263,42.8444
264,42.6444
265,42.6444
266,42.5333
267,42.7778
268,42.6889
269,43.0667
270,42.9111
271,43.1778
272,43.1333
273,43.2222
274,42.8667
275,43.1111
276,43.2444
277,43.4889
278,43.3556
279,43.5778
280,43.4000
281,43.4000
282,43.3778
283,43.3111
284,43.2222
285,43.4222
286,43.2000
287,43.0889
288,42.9556
289,43.0000
290,42.9333
291,43.1778
292,43.1556
293,43.1333
294,42.9333
295,42.6667
296,42.4667
297,42.2889
298,42.6222
299,42.4889
300,42.5111
301,42.4889
302,42.4667
303,42.4444
304,42.4889
305,42.6222
306,42.4444
307,42.4889
308,42.4667
309,42.5111
310,42.5333
311,42.6444
312,42.8889
313,43.0667
314,42.8000
315,42.8444
316,42.8000
317,43.0222
318,42.9778
319,43.4444
320,43.8889
321,44.1778
322,44.0222
323,44.4667
324,44.7778
325,45.5111
326,45.6000
327,46.2444
328,46.7333
329,47.1778
330,47.5111
331,47.7111
332,48.0444
333,48.5333
334,48.7111
335,49.3778
336,49.8889
337,50.4222
338,50.4889
339,50.9556
340,51.0889
341,51.6222
342,51.6889
343,52.4889
344,52.3778
345,52.8889
346,53.0222
347,53.7556
348,53.9111
349,54.8000
350,55.2000
351,55.7333
352,55.7778
353,56.0667
354,56.2000
355,56.4222
356,56.3333
357,56.4000
358,56.0889
359,55.6000
360,54.8667
361,54.7333
362,54.2222
363,53.8667
364,52.1111
365,51.1111
366,50.5111
367,49.8000
368,48.2889
369,47.8667
370,47.4667
371,47.3111
372,45.8222
373,45.4667
374,44.8444
375,44.6444
376,43.4667
377,43.2000
378,42.2667
379,42.6000
380,41.7556
381,41.6667
382,41.4000
383,41.5333
384,41.2667
385,41.4222
386,41.6889
387,41.3556
388,40.2889
389,39.7333
390,39.1778
391,39.3778
392,39.4222
393,39.8444
394,40.4000
395,40.4667
396,40.8889
397,41.8667
398,42.8667
399,44.4889
400,45.8667
401,47.2000
402,47.0444
403,47.7333
404,48.4889
405,49.2000
406,49.3111
407,49.9556
408,50.3111
409,51.0222
410,51.1333
411,51.3778
412,51.2222
413,51.4444
414,52.2222
415,52.5556
416,51.1778
417,49.7556
418,48.8667
419,47.8444
420,45.8667
421,45.8222
422,45.2667
423,43.6667
424,41.6000
425,40.1778
426,40.5333
427,40.8889
428,40.0667
429,39.8889
430,39.8444
431,39.9333
432,39.3778
433,38.9778
434,38.3556
435,38.2222
436,37.8444
437,38.1778
438,38.0222
439,37.2889
440,39.5556
441,42.4889
442,44.0889
443,46.7111
444,47.0444
445,46.4444
446,46.4444
447,46.9556
448,47.1111
449,47.8222
450,47.9556
451,48.1333
452,47.8444
453,47.7556
454,47.5111
455,47.2889
456,45.5556
457,44.7333
458,44.3556
459,43.4000
460,40.4889
461,38.5111
462,38.7111
463,39.0667
